[09-Mar-2024 20:08:11 UTC] wps:2132
[09-Mar-2024 20:23:45 UTC] end ci_import_product(wps, 1403 -> ignore)
[09-Mar-2024 20:23:45 UTC] start ci_import_product(wps, 1407)
[09-Mar-2024 20:23:47 UTC] end ci_import_product(wps, 1407 -> update)
[09-Mar-2024 20:23:47 UTC] start ci_import_product(wps, 1408)
[09-Mar-2024 20:23:49 UTC] end ci_import_product(wps, 1408 -> ignore)
[09-Mar-2024 20:23:49 UTC] start ci_import_product(wps, 1409)
[09-Mar-2024 20:23:51 UTC] end ci_import_product(wps, 1409 -> ignore)
[09-Mar-2024 20:23:51 UTC] start ci_import_product(wps, 1410)
[09-Mar-2024 20:23:53 UTC] end ci_import_product(wps, 1410 -> ignore)
[09-Mar-2024 20:23:53 UTC] start ci_import_product(wps, 1411)
[09-Mar-2024 20:23:55 UTC] end ci_import_product(wps, 1411 -> ignore)
[09-Mar-2024 20:23:55 UTC] start ci_import_product(wps, 1412)
[09-Mar-2024 20:23:56 UTC] end ci_import_product(wps, 1412 -> ignore)
[09-Mar-2024 20:24:12 UTC] start ci_import_product(wps, 1413)
[09-Mar-2024 20:24:13 UTC] end ci_import_product(wps, 1413 -> update)
[09-Mar-2024 20:24:13 UTC] start ci_import_product(wps, 1414)
[09-Mar-2024 20:24:15 UTC] end ci_import_product(wps, 1414 -> update)
[09-Mar-2024 20:24:15 UTC] start ci_import_product(wps, 1417)
[09-Mar-2024 20:24:18 UTC] end ci_import_product(wps, 1417 -> update)
[09-Mar-2024 20:24:18 UTC] start ci_import_product(wps, 1420)
[09-Mar-2024 20:24:20 UTC] end ci_import_product(wps, 1420 -> update)
[09-Mar-2024 20:24:20 UTC] start ci_import_product(wps, 1421)
[09-Mar-2024 20:24:22 UTC] end ci_import_product(wps, 1421 -> ignore)
[09-Mar-2024 20:24:22 UTC] start ci_import_product(wps, 1422)
[09-Mar-2024 20:24:24 UTC] end ci_import_product(wps, 1422 -> ignore)
[09-Mar-2024 20:24:24 UTC] start ci_import_product(wps, 1423)
[09-Mar-2024 20:24:26 UTC] end ci_import_product(wps, 1423 -> ignore)
[09-Mar-2024 20:24:26 UTC] start ci_import_product(wps, 1424)
[09-Mar-2024 20:24:28 UTC] end ci_import_product(wps, 1424 -> ignore)
[09-Mar-2024 20:24:28 UTC] start ci_import_product(wps, 1450)
[09-Mar-2024 20:24:30 UTC] end ci_import_product(wps, 1450 -> update)
[09-Mar-2024 20:24:30 UTC] start ci_import_product(wps, 1483)
[09-Mar-2024 20:24:35 UTC] end ci_import_product(wps, 1483 -> update)
[09-Mar-2024 20:24:42 UTC] start ci_import_product(wps, 1498)
[09-Mar-2024 20:24:42 UTC] end ci_import_product(wps, 1498 -> ignore)
[09-Mar-2024 20:24:42 UTC] start ci_import_product(wps, 1506)
[09-Mar-2024 20:24:44 UTC] end ci_import_product(wps, 1506 -> ignore)
[09-Mar-2024 20:24:44 UTC] start ci_import_product(wps, 1508)
[09-Mar-2024 20:24:46 UTC] end ci_import_product(wps, 1508 -> ignore)
[09-Mar-2024 20:24:46 UTC] start ci_import_product(wps, 1509)
[09-Mar-2024 20:24:48 UTC] end ci_import_product(wps, 1509 -> ignore)
[09-Mar-2024 20:24:48 UTC] start ci_import_product(wps, 1510)
[09-Mar-2024 20:24:50 UTC] end ci_import_product(wps, 1510 -> ignore)
[09-Mar-2024 20:24:50 UTC] start ci_import_product(wps, 1511)
[09-Mar-2024 20:24:51 UTC] end ci_import_product(wps, 1511 -> ignore)
[09-Mar-2024 20:24:51 UTC] start ci_import_product(wps, 1512)
[09-Mar-2024 20:24:53 UTC] end ci_import_product(wps, 1512 -> ignore)
[09-Mar-2024 20:24:53 UTC] start ci_import_product(wps, 1513)
[09-Mar-2024 20:24:55 UTC] end ci_import_product(wps, 1513 -> ignore)
[09-Mar-2024 20:24:55 UTC] start ci_import_product(wps, 1514)
[09-Mar-2024 20:24:57 UTC] end ci_import_product(wps, 1514 -> ignore)
[09-Mar-2024 20:24:57 UTC] start ci_import_product(wps, 1518)
[09-Mar-2024 20:24:59 UTC] end ci_import_product(wps, 1518 -> ignore)
[09-Mar-2024 20:25:31 UTC] start ci_import_product(wps, 1520)
[09-Mar-2024 20:25:32 UTC] end ci_import_product(wps, 1520 -> ignore)
[09-Mar-2024 20:25:32 UTC] start ci_import_product(wps, 1522)
